Markup,Part/Library name,Parts Per Package,Reference Designator,TinyCAD Symbol,FreePCB Package,Description,,,,,,,,,,,,,,,,,,,,,
library,gen_Passives,,,,,,,,,,,,,,,,,,,,,,,,,,
part,CAP,1,C?,CAP,RAD-248,Generic Large Radial Electrolytic Capacitor,,,,,,,,,,,,,,,,,,,,,,
part,L,1,L?,L,CK05,Generic Inductor,,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Usage,Datasheet,Picture,Value,P_Max,Tol,,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost,
part,R,1,R?,R,CK12-B,Generic Resistor,,,,,,0.25,5%,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Usage,Datasheet,Picture,I_Hold,I_Trip,V_Max,,T_Trip,R_Off,R_On,Temp_Nom,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost,
part,PTC_.3,1,R?,PTC,CK05,PTC Resettable fuse 300ma hold, 72V,,ATTiny45 Dev Board protection,,,0.3,0.6,72,,2,1.33,,20C,,,Tyco/Raychem,RXEF030,RXEF030-ND,,,,0.36
part,PTC_2.5,1,R?,PTC,CK05,PTC Resettable fuse 2.5A hold 30V,,,,,2.5,,30,,,,,,,,Tyco/Raychem,RUEF250,RUEF250-ND,,,,0.49,
part,PTC_3,1,R?,PTC,CK05,PTC Resettable fuse 3A hold 16V,,,,,3,,16,100,,,,,,,Tyco/Raychem,RGEF300,RGEF300-ND,,,,0.53,
part,PTC_4,1,R?,PTC,CK05,PTC Resettable fuse 4A hold 16V,,,,,4,,16,100,,,,,,,Tyco/Raychem,RGEF400,RGEF400-ND,,,,0.57,
part,PTC_4.5,1,R?,PTC,CK05,PTC Resettable fuse  4.5A hold 16V,,,,,4.5,,16,100,,,,,,,Tyco/Raychem,RHEF450,RHEF450-ND,,,,0.66,
header,Name,PPP,Ref,Symbol,Package,Description,,Usage,Datasheet,Picture,Freq.,Tol.,Load Cap,,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost,
part,X,1,X?,X,OSCILLATOR,Crystal Oscillator,,Crystal for USB-enabled uCs,,,12MHz,,,,,,,,,,Citizen America Corporation,HC49US12.000MABJ-UB,300-8492-ND,,,,0.54,
part,X,1,X?,X,OSCILLATOR,Precision Crystal Oscillator,,Real-time clocks,,,32.768KHz,,,,,,,,,,ECS Inc,ECS-3X8X,X1123-ND,,,,0.3,
header,Name,PPP,Ref,Symbol,Package,Description,,Capacitance,Tolerance,Voltage - Rated,Operating Temperature,Size / Dimension,Manufacturer,Manufacturer Part Number,Digi-Key Part Number,Min Quantity,Price per min,,,,,,,,,,,
part,CAP_100nF,1,C?,C,CK05,CAP .10UF 25V CERAMIC +80/-20%,,0.1F,0.6,25V,-30C ~ 85C,"0.158"" L x 0.158"" W (4.00mm x 4.00mm)",Vishay/BC Components,K104Z15Y5VE5TH5,BC1154CT-ND,1,0.44,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Frequency,Frequency Tolerance,Load Capacitance,Operating Temperature,Type,Manufacturer,Manufacturer Part Number,Digi-Key Part Number,Min Quantity,Price per min,,,,,,,,,,,
part,XTAL_32K768Hz,1,X?,X,XTAL_32k768,CRYSTAL 32.7680KHZ 6.0PF CYL,,32.768kHz,20ppm,6pF,-10C ~ 60C,-,Epson Toyocom Corporation,C-002RX 32.7680K-E:PBFREE,SER3205-ND,1,0.32,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Inductance,Tolerance,Current,DC Resistance (DCR),Operating Temperature,Type,Manufacturer,Manufacturer Part Number,Digi-Key Part Number,Min Quantity,Price per min,,,,,,,,,
part,L_100nH,1,L?,L,CK05,CHOKE RF CONFORMAL COATED .10UH,,100nH,20%,1.2A,60.00 mOhm Max,-55C ~ 105C,Ferrite Core,JW Miller A Bourns Company,78FR10M-RC,M10147-ND,1,0.3,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Inductance,Tolerance,Current,DC Resistance (DCR),Operating Temperature,Type,Manufacturer,Manufacturer Part Number,Digi-Key Part Number,Min Quantity,Price per min,,,,,,,,,
part,L_10uH_1A2,1,L?,L,CK05,CHOKE RF HI CURRENT 10UH 1.28A,,10H,10%,1.28A,33.00 mOhm Max,-55C ~ 105C,Ferrite Core,JW Miller A Bourns Company,5800-100-RC,M8278-ND,1,1.33,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Frequency,Voltage - Rated,Voltage Range,Current Rating,Type,Size / Dimension,Manufacturer,Manufacturer Part Number,Digi-Key Part Number,Min Quantity,Price per min,,,,,,,,,
part,BUZZER_2K8Hz,1,U?,BUZZER,BUZZER_9MM,BUZZER PIEZO 2.8KHZ 9.0MM,,2.8kHz,10Vp-p,30Vp-p (max),4mA,Piezo Transducer External Drive,Circular - 9mm Dia x 8mm H,CUI Inc,CPE-171,102-1283-ND,1,1.53,,,,,,,,,
library,th_Semiconductors,,,,,,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Usage,Datasheet,Picture,Vmax,Imax,Igt,It,Vt,Ton,Toff,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,4N25,1,U?,OPTO_ISO,6DIP300,4N25,,General purpose opto-isolator,,,,,,,,,,,,,Fairchild Semiconductor,4N25M,4N25MFS-ND,,,,0.52
header,Name,PPP,Ref,Symbol,Package,Description,,Usage,Datasheet,Picture,Pmax,IfMax,VrMax,VfMax,Vf,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,BR,1,D?,BR,,Bridge Rectifier,,,,,,,,,,,,,,,,,,,,,
part,D1N4004,1,D?,D,DO-41,Rectifier Diode,,General rectifying,,,,,400,1,,,,,,,Vishay/General,1N4004-E3/73,1N4004-E3/73GI-ND,,,,0.05
part,D1N5400,1,D?,D,DO-41,High-Current Rectifier Diode,,High-current rectifying,,,,,50,3,,,,,,,Radio Shack,276-1141,1N5400GOS-ND,,,,0.44
part,D1N4729,1,D?,D,,3.6V Zener Diode,,USB level shifting,,,3.6V,1,,,5,,,,,,Diodes Inc,1N4729A-T,1N4729ADICT-ND,,,,
part,D,1,D?,D,,Generic Small Zener Diode,,,,,,,,,,,,,,,,,,,,,
part,D,1,D?,D,,Generic Small Diode,,,,,,,,,,,,,,,,,,,,,
part,D,1,D?,D,,Generic Large Zener Diode,,,,,,,,,,,,,,,,,,,,,
